Iteration,Timestep,StratumID,SecondaryStratumID,TertiaryStratumID,StateClassID,AgeMin,AgeMax,TSTGroupID,TSTMin,TSTMax,TransitionGroupID,TransitionMultiplierTypeID,Amount,DistributionType,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
,,,,,,,,,,,Succession: Post Fire Recovery,,0.0640,Normal,Iteration Only,0.0270,0.0370,0.1330
,,Acadian Plains and Hills,,,,,,,,,Ag Contraction: Cropland,,0.0761,,,,,
,,Acadian Plains and Hills,,,,,,,,,Ag Contraction: Pasture,,0.9239,,,,,
,,Acadian Plains and Hills,,,,,,,,,Ag Expansion: Cropland [Type],,0.4000,,,,,
,,Acadian Plains and Hills,,,,,,,,,Ag Expansion: Pasture [Type],,0.6000,,,,,
,,Acadian Plains and Hills,,,,,,,,,Fire: High Severity [Type],,0.0000,,,,,
,,Acadian Plains and Hills,,,,,,,,,Fire: Low Severity [Type],,0.7500,,,,,
,,Acadian Plains and Hills,,,,,,,,,Fire: Medium Severity [Type],,0.2500,,,,,
,,Acadian Plains and Hills,,,,,,,,,Intensification: Low to High [Type],,0.0500,,,,,
,,Acadian Plains and Hills,,,,,,,,,Intensification: Low to Medium [Type],,0.1500,,,,,
,,Acadian Plains and Hills,,,,,,,,,Intensification: Medium to High [Type],,0.0000,,,,,
,,Acadian Plains and Hills,,,,,,,,,Intensification: Open to High [Type],,0.1500,,,,,
,,Acadian Plains and Hills,,,,,,,,,Intensification: Open to Low [Type],,0.2500,,,,,
,,Acadian Plains and Hills,,,,,,,,,Intensification: Open to Medium [Type],,0.4000,,,,,
,,Acadian Plains and Hills,,,,,,,,,Urbanization: High [Type],,0.1250,,,,,
,,Acadian Plains and Hills,,,,,,,,,Urbanization: Low [Type],,0.3125,,,,,
,,Acadian Plains and Hills,,,,,,,,,Urbanization: Medium [Type],,0.2188,,,,,
,,Acadian Plains and Hills,,,,,,,,,Urbanization: Open [Type],,0.3438,,,,,
,,Arizona/New Mexico Mountains,,,,,,,,,Ag Contraction: Cropland,,0.0000,,,,,
,,Arizona/New Mexico Mountains,,,,,,,,,Ag Contraction: Pasture,,1.0000,,,,,
,,Arizona/New Mexico Mountains,,,,,,,,,Ag Expansion: Cropland [Type],,1.0000,,,,,
,,Arizona/New Mexico Mountains,,,,,,,,,Ag Expansion: Pasture [Type],,0.0000,,,,,
